Datum	Pruefer	Station	Transponder	Stall	Silo	CUP1	CUP2	CUP3	CUP4	CUP5	CUP6	CUP7	CUP8	Notizen
30.04.2023 19:59	mp	GF_105	13392615	Stall_3	Silo_4	34.73	72.87	2.88	32.51	72.42	0.47	38.59	70.71	
30.04.2023 20:00	mp	GF_105	13392615	Stall_3	Silo_4	35.54	37.00	34.76	37.15	34.87	73.95	0.57	34.44	
30.04.2023 20:01	mp	GF_105	13392615	Stall_3	Silo_4	35.29	36.69	37.00	35.36	33.49	39.20	36.50	36.84	
30.04.2023 20:02	mp	GF_105	13392615	Stall_3	Silo_4	36.31	35.88	36.37	36.61	34.08	37.95	33.23	35.66	
30.04.2023 20:03	mp	GF_105	13392615	Stall_3	Silo_4	39.07	38.10	35.42	35.71	37.52	36.19	37.38	38.03	
30.04.2023 20:04	mp	GF_105	13392615	Stall_3	Silo_4	38.68	40.11	36.70	39.33	37.63	38.81	41.72	37.98	
30.04.2023 20:05	mp	GF_105	13392615	Stall_3	Silo_4	41.13	38.83	35.78	36.21	38.79	35.81	42.11	38.27	
30.04.2023 20:07	mp	GF_105	13392615	Stall_3	Silo_4	41.17	37.49	37.10	38.97	40.18	37.21	38.92	38.59	
30.04.2023 20:09	mp	GF_105	13392615	Stall_3	Silo_4	38.25	37.04	39.60	37.56	38.96	37.91	36.71	37.06	
30.04.2023 20:11	mp	GF_105	13392615	Stall_3	Silo_4	37.96	37.06	37.38	37.09	38.14	35.84	38.99	38.41	
30.04.2023 20:12	mp	GF_135	13392597	Stall_4	Silo_4	40.46	39.90	53.80	35.74	40.26	39.44	38.21	41.33	
30.04.2023 20:13	mp	GF_135	13392597	Stall_4	Silo_4	38.35	38.87	38.88	37.53	37.76	42.02	42.69	38.74	
30.04.2023 20:14	mp	GF_135	13392597	Stall_4	Silo_4	39.59	37.79	77.56	38.90	39.12	38.86	38.24	35.99	
30.04.2023 20:16	mp	GF_135	13392597	Stall_4	Silo_4	34.92	38.35	38.37	39.94	40.79	41.92	38.63	40.01	
30.04.2023 20:17	mp	GF_135	13392597	Stall_4	Silo_4	40.64	66.27	44.69	37.65	37.92	39.68	38.40	37.09	
30.04.2023 20:18	mp	GF_135	13392597	Stall_4	Silo_4	67.21	46.79	40.05	40.21	40.07	39.29	43.59	40.63	
30.04.2023 20:19	mp	GF_135	13392597	Stall_4	Silo_4	60.53	39.41	39.79	61.61	53.97	37.38	42.13	40.34	
30.04.2023 20:20	mp	GF_135	13392597	Stall_4	Silo_4	41.31	41.80	40.69	43.92	40.51	45.55	43.90	71.60	
30.04.2023 20:21	mp	GF_135	13392597	Stall_4	Silo_4	39.17	40.83	39.82	40.93	40.77	39.38	41.96	46.87	
30.04.2023 20:22	mp	GF_135	13392597	Stall_4	Silo_4	39.64	42.41	78.93	42.15	40.16	42.13	38.80	41.88	
