Datum	Pruefer	Station	Transponder	Stall	Silo	CUP1	CUP2	CUP3	CUP4	CUP5	CUP6	CUP7	CUP8	Notizen
15.04.2023 16:30	mp	GF_105	13392615	Stall_3	Silo_4	37.84	38.85	36.24	34.92	38.73	35.90	35.95	36.53	
15.04.2023 16:31	mp	GF_105	13392615	Stall_3	Silo_4	37.02	35.19	36.43	36.59	36.81	36.35	37.28	36.70	
15.04.2023 16:32	mp	GF_105	13392615	Stall_3	Silo_4	37.23	38.67	35.68	34.95	37.26	36.69	33.21	36.08	
15.04.2023 16:34	mp	GF_105	13392615	Stall_3	Silo_4	38.94	35.70	36.34	36.73	36.73	34.52	38.83	36.58	
15.04.2023 16:37	mp	GF_105	13392615	Stall_3	Silo_4	35.86	34.77	36.28	35.36	34.90	33.77	35.19	35.58	
15.04.2023 16:38	mp	GF_105	13392615	Stall_3	Silo_4	35.25	35.88	36.94	35.69	37.42	35.62	35.56	38.37	
15.04.2023 16:39	mp	GF_105	13392615	Stall_3	Silo_4	35.60	36.49	37.34	35.65	36.63	37.70	37.44	36.50	
15.04.2023 16:40	mp	GF_105	13392615	Stall_3	Silo_4	36.71	35.18	35.80	34.70	32.37	37.92	35.20	37.49	
15.04.2023 16:41	mp	GF_105	13392615	Stall_3	Silo_4	33.33	33.63	35.65	36.91	36.13	35.82	37.26	34.77	
15.04.2023 16:42	mp	GF_105	13392615	Stall_3	Silo_4	35.46	37.75	37.07	35.59	35.97	34.76	38.86	33.58	
15.04.2023 16:43	mp	GF_135	13392597	Stall_4	Silo_4	38.17	36.71	36.87	39.89	39.72	39.39	37.10	51.12	
15.04.2023 16:44	mp	GF_135	13392597	Stall_4	Silo_4	38.92	39.61	39.84	42.83	60.18	44.07	38.50	39.53	
15.04.2023 16:45	mp	GF_135	13392597	Stall_4	Silo_4	40.45	40.73	41.21	36.78	42.17	43.25	42.50	39.96	
15.04.2023 16:46	mp	GF_135	13392597	Stall_4	Silo_4	41.09	61.28	53.51	39.85	38.10	36.66	38.04	40.43	
15.04.2023 16:47	mp	GF_135	13392597	Stall_4	Silo_4	39.25	39.70	36.77	43.72	38.46	38.03	39.10	40.76	
15.04.2023 17:36	mp	GF_135	13392597	Stall_4	Silo_4	39.93	37.42	37.14	38.14	38.05	43.18	42.68	38.65	
15.04.2023 17:37	mp	GF_135	13392597	Stall_4	Silo_4	37.03	36.00	53.64	56.48	38.97	40.21	36.55	33.90	
15.04.2023 17:37	mp	GF_135	13392597	Stall_4	Silo_4	40.99	41.45	38.30	39.01	38.32	41.49	49.24	39.78	
15.04.2023 17:38	mp	GF_135	13392597	Stall_4	Silo_4	38.99	40.80	38.45	54.80	46.39	42.57	40.19	40.40	
15.04.2023 17:39	mp	GF_135	13392597	Stall_4	Silo_4	38.22	38.54	40.33	37.46	37.50	39.31	39.81	37.94	
